"epidermal","mesophyll group 1","mesophyll group 2","mesophyll group 3","bundle sheath","vascular","companion","sieve","myrosinase"
"AT4G39140",0,3,-3,0,3,0,0,0,0
"AT5G01030",0,-3,0,0,0,0,0,0,0
"AT5G04750",0,3,-3,0,0,0,3,0,0
"AT5G05110",0,3,-3,0,0,0,0,0,0
"AT5G05480",0,-3,3,0,0,0,0,0,0
"AT5G07470",0,3,0,0,0,0,0,0,0
"AT5G13720",0,-3,0,0,0,0,0,0,0
"AT5G13810",0,3,-3,0,0,0,0,0,0
"AT5G19010",0,-3,-3,0,0,0,0,0,0
"AT5G19140",0,-3,0,0,0,0,0,0,0
"AT5G20910",0,-3,3,0,0,0,0,0,0
"AT5G21020",0,-3,0,0,0,0,0,0,0
"AT5G22000",0,-3,0,0,0,0,0,0,0
"AT5G25265",0,-3,3,0,0,0,0,0,0
"AT5G27380",0,3,0,0,0,0,0,0,0
"AT5G36940",0,3,0,0,-3,0,0,0,0
"AT5G39570",0,3,-3,0,-3,0,0,0,0
"AT5G40670",0,3,0,0,-3,0,0,0,0
"AT5G43930",0,-3,-3,0,0,0,0,0,0
"AT5G49630",0,-3,0,0,0,0,0,0,0
"AT5G51070",0,-3,0,0,0,0,0,0,0
"AT5G52900",0,-3,0,0,0,0,0,0,0
"AT5G55860",0,3,-3,0,0,0,0,0,0
"AT5G56140",0,3,-3,0,0,0,0,0,0
"AT5G59030",0,3,0,0,0,0,0,0,0
"AT5G59420",0,-3,-3,0,0,0,0,0,0
"AT5G63800",0,3,0,0,-3,0,0,0,0
"AT5G65910",0,-3,-3,0,0,0,0,0,0
"AT5G66850",0,3,0,0,0,0,0,0,0
"AT1G01950",0,0,-3,0,0,0,0,0,0
"AT1G02170",0,0,3,0,0,0,0,0,0
"AT1G02270",0,0,-3,0,3,0,0,0,0
"AT1G03370",0,0,3,0,0,0,0,0,0
"AT1G03870",0,0,-3,0,0,0,0,0,0
"AT1G04230",0,0,-3,0,0,0,0,0,0
"AT1G05020",0,0,-3,0,0,0,0,0,0
"AT1G05340",0,0,-3,0,0,0,0,0,0
