"epidermal","mesophyll group 1","mesophyll group 2","mesophyll group 3","bundle sheath","vascular","companion","sieve","myrosinase"
"AT2G46070",3,0,0,0,0,0,0,0,0
"AT2G46470",-3,0,0,3,0,0,0,0,0
"AT2G47260",3,0,0,0,0,0,0,0,0
"AT3G01790",-3,0,0,3,0,0,0,0,0
"AT3G02555",3,0,0,-3,0,0,0,0,0
"AT3G02850",3,0,0,0,0,0,0,0,0
"AT3G03320",3,0,0,0,0,0,0,0,0
"AT3G04400",3,0,0,3,0,0,0,-3,0
"AT3G04760",3,0,0,3,0,0,0,0,0
"AT3G04810",3,0,0,3,0,0,0,0,0
"AT3G05180",3,0,0,-3,0,0,0,0,0
"AT3G05750",3,0,0,-3,0,0,0,0,0
"AT3G05800",3,0,0,3,0,0,0,0,0
"AT3G06660",3,0,3,-3,0,0,0,0,0
"AT3G06840",3,0,0,-3,0,0,0,0,0
"AT3G06950",-3,0,0,3,0,0,0,0,0
"AT3G09070",3,0,0,3,0,0,0,0,0
"AT3G09210",-3,3,0,-3,0,0,0,0,0
"AT3G11590",-3,3,-3,-3,0,0,0,0,0
"AT3G12930",3,0,0,0,0,0,0,0,0
"AT3G13490",-3,0,0,3,0,0,0,0,0
"AT3G13510",3,0,0,-3,0,0,0,0,0
"AT3G13682",3,0,0,0,0,0,0,0,0
"AT3G13740",3,0,3,-3,0,0,0,0,0
"AT3G14110",-3,0,3,3,0,0,0,-3,0
"AT3G14330",3,0,0,-3,0,0,0,0,0
"AT3G14390",3,0,0,3,0,0,0,0,0
"AT3G15690",-3,-3,3,0,0,0,0,0,0
"AT3G16260",3,3,3,0,0,0,0,0,0
"AT3G16310",3,0,0,-3,0,0,0,0,0
"AT3G18110",3,0,0,-3,0,0,0,0,0
"AT3G18160",3,0,0,-3,0,0,0,0,0
"AT3G18380",3,0,3,-3,0,0,0,0,0
"AT3G18870",3,0,0,-3,0,0,0,0,0
"AT3G19810",3,0,3,-3,0,0,0,0,0
"AT3G20010",3,0,3,-3,0,0,0,0,0
"AT3G20280",-3,3,0,3,0,0,0,0,0
"AT3G21200",-3,0,0,3,0,0,0,0,0
"AT3G21870",3,0,0,-3,0,0,0,0,0
"AT3G22150",3,0,0,-3,0,0,0,0,0
"AT3G22190",3,0,0,-3,0,0,0,0,0
"AT3G22790",-3,0,0,0,0,0,0,0,0
"AT3G23340",3,0,0,-3,0,0,0,0,0
"AT3G23900",-3,0,0,3,0,0,0,0,0
"AT3G24140",3,0,0,-3,0,0,0,0,0
"AT3G24630",3,0,0,0,0,0,0,0,0
"AT3G26744",3,0,0,-3,0,0,0,0,0
"AT3G27360",3,0,0,3,0,0,0,0,0
"AT3G27520",3,0,0,-3,0,0,0,0,0
"AT3G27640",3,0,0,0,0,0,0,0,0
"AT3G28040",3,0,0,-3,0,0,0,0,0
"AT3G29156",3,0,0,0,0,0,0,0,0
"AT3G47620",3,0,0,-3,0,0,0,0,0
"AT3G48870",3,0,0,-3,0,0,0,0,0
"AT3G48980",3,0,0,-3,0,0,0,0,0
"AT3G49900",3,0,0,3,0,0,0,0,0
"AT3G50780",3,0,0,3,0,0,0,0,0
"AT3G51080",3,0,0,3,0,0,0,0,0
"AT3G51760",3,0,0,3,0,0,0,0,0
"AT3G53170",3,0,0,3,0,0,0,0,0
"AT3G53380",3,0,0,-3,0,0,0,0,0
"AT3G53540",3,0,0,0,0,0,0,0,0
"AT3G53580",3,0,3,-3,0,0,0,-3,0
"AT3G53730",3,0,0,3,0,0,0,0,0
"AT3G54650",3,0,0,3,0,0,0,0,0
"AT3G55480",-3,0,0,3,0,0,0,0,0
"AT3G56370",3,0,0,-3,0,0,0,0,0
"AT3G56680",3,0,0,3,0,0,0,0,0
"AT3G56910",3,0,3,3,0,0,0,-3,0
"AT3G57040",3,0,0,0,0,0,0,0,0
"AT3G57430",3,0,0,-3,0,0,0,0,0
"AT3G57610",3,0,0,-3,0,0,0,0,0
"AT3G58940",3,0,0,-3,0,0,0,0,0
"AT3G59420",3,0,0,-3,0,0,0,0,0
"AT3G60530",3,0,0,0,0,0,0,0,0
"AT3G61610",3,0,0,3,0,0,0,0,0
"AT3G61770",-3,0,0,3,0,0,0,0,0
"AT3G61820",3,0,0,3,0,0,0,0,0
"AT3G63090",3,0,0,-3,0,0,0,0,0
"AT3G63130",3,0,0,0,0,0,0,0,0
"AT4G01460",3,0,0,3,0,0,0,0,0
"AT4G01690",-3,0,-3,3,0,0,0,0,0
"AT4G02070",3,0,0,-3,0,0,0,0,0
"AT4G04885",3,0,0,-3,0,0,0,0,0
"AT4G08093",3,0,0,0,0,0,0,0,0
"AT4G10600",3,0,0,3,0,0,0,0,0
"AT4G11790",-3,0,0,3,-3,0,0,0,0
"AT4G12560",3,-3,3,-3,0,0,0,0,0
"AT4G13120",3,0,0,3,0,0,0,0,0
"AT4G13250",-3,3,0,3,0,0,0,0,0
"AT4G13650",3,0,0,-3,0,0,0,0,0
"AT4G13710",3,0,0,-3,0,0,0,0,0
"AT4G14000",3,0,3,-3,0,0,0,0,0
"AT4G14480",3,0,0,0,0,0,0,0,0
"AT4G14540",3,0,0,-3,0,0,0,0,0
"AT4G15510",-3,0,0,3,0,0,0,0,0
"AT4G16515",3,0,0,0,0,0,0,0,0
"AT4G16660",-3,0,0,3,0,0,0,0,0
"AT4G18820",3,0,0,-3,0,0,0,0,0
"AT4G20130",3,0,3,-3,0,0,0,0,0
"AT4G20270",3,0,0,3,0,0,0,0,0
"AT4G21900",-3,0,0,3,0,0,0,0,0
"AT4G22730",3,0,0,-3,0,0,0,0,0
"AT4G23020",3,0,0,3,0,0,0,0,0
"AT4G23740",3,0,0,3,0,0,0,0,0
"AT4G24090",3,-3,0,-3,0,0,0,0,0
"AT4G24670",3,0,0,3,0,0,0,0,0
"AT4G24750",-3,0,-3,3,0,0,0,0,0
"AT4G24760",-3,0,3,0,0,0,0,0,0
"AT4G25120",3,0,0,0,0,0,0,0,0
"AT4G27600",3,0,0,-3,0,0,0,0,0
"AT4G28690",3,0,0,3,0,0,0,0,0
"AT4G30825",3,0,0,-3,0,0,0,0,0
"AT4G31850",-3,3,0,0,0,0,0,0,0
