"Mixture"	"cl"	"cl4"	"cl5"	"cl0"	"cl1"	"cl3"	"cl9"	"cl7"	"cl15"	"cl13"
"P008"	"0.0330099639585773"	"0.172942424828996"	"0.0829526681587015"	"0.257307822812699"	"0.260674878935744"	"0.0401540777642987"	"0.051575681942798"	"0.0159460542430725"	"0.0328730894148389"	"0.0545005233933798"
"P009"	"0.0371566057792008"	"0.242760273727983"	"0.0903070253023243"	"0.241335479234404"	"0.200498950292042"	"0.0384691773663505"	"0.0419054487850174"	"0.0137210539213637"	"0.0407069691348015"	"0.0545512346120836"
"P010"	"0.0760020032182105"	"0.130954721634063"	"0.075779904157457"	"0.203937465110625"	"0.254449272719897"	"0.088618672671199"	"0.0530279624749415"	"0.0296950639667654"	"0.0416614035694922"	"0.0488515731246897"
"P016"	"0.0598087466069122"	"0.171041151902739"	"0.0741282928408173"	"0.19230719489266"	"0.236927397296137"	"0.0948318354566008"	"0.0423788878942979"	"0.030890194080018"	"0.0373897218426469"	"0.0639267622898926"
"P020"	"0.0308837964105854"	"0.174864612552805"	"0.0850548881850013"	"0.237562881217918"	"0.23747769999718"	"0.0812764703708189"	"0.0464602837634374"	"0.0327959627592455"	"0.0317226717400835"	"0.0425615521664619"
"P023"	"0.0381267293375785"	"0.1270091245833"	"0.0929315425185126"	"0.225957042525383"	"0.318733248965889"	"0.029013567312751"	"0.0595616790524912"	"0.0426812562655157"	"0.0337090340983658"	"0.0345610867625557"
"P024"	"0.0215807628511793"	"0.231386421646284"	"0.10561196495585"	"0.245416254340015"	"0.21056822799694"	"0.0470390825326536"	"0.0462007605018029"	"0.0267524358622313"	"0.0271685016556192"	"0.0385899744975254"
"P037"	"0.0836060366049035"	"0.176984794901946"	"0.104146445106699"	"0.190780621337303"	"0.230880284694761"	"0.03155334265294"	"0.0550358003681356"	"0.0532988685648146"	"0.037386964931263"	"0.0404576553242188"
"P038"	"0.0274514870369529"	"0.184631664624843"	"0.0727929246314557"	"0.229576312709246"	"0.284346873238754"	"0.0514853394132546"	"0.0575892548236438"	"0.0166187942144385"	"0.0315477961518532"	"0.0448406469085404"
"P039"	"0.0362587659442187"	"0.227660545390546"	"0.100908316570056"	"0.250290968058278"	"0.219961731703207"	"0.0109837961329394"	"0.0412082791098335"	"0.0284233423311497"	"0.0301205361078487"	"0.0541916252111122"
"P049"	"0.0489637825339425"	"0.221219916916436"	"0.0963365806694425"	"0.217989977139646"	"0.245623498574456"	"0.0310071642374544"	"0.0453529981765476"	"0.0191228581708636"	"0.0328442014143511"	"0.0426132542617911"
"P050"	"0.0315740381286412"	"0.156975578629385"	"0.0794658000478569"	"0.245828352408037"	"0.320936599355708"	"0.0210705598415054"	"0.0537490925959443"	"0.0277523855305215"	"0.02876945527562"	"0.0339033472485938"
"P052"	"0.0271215879115896"	"0.147337224764027"	"0.087358903923898"	"0.259383336274167"	"0.290382279921514"	"0.0588926471422509"	"0.0314866819227412"	"0.00435062969732225"	"0.0421188428809255"	"0.05192037430592"
"P054"	"0.0348961386721784"	"0.140541567958511"	"0.0917939587177606"	"0.262854488876492"	"0.297955751751805"	"0.0366667995796513"	"0.0420431418117035"	"0.00490108940168572"	"0.0461620535635921"	"0.0453523701993626"
"P059"	"0.0345906215139076"	"0.0756310870463807"	"0.0875109217410785"	"0.259193574662866"	"0.336740427396558"	"0.0565696403841282"	"0.0566840859849761"	"0.012225214509084"	"0.044913734477076"	"0.0368762758628412"
"P068"	"0.0404988537237282"	"0.217033705624841"	"0.083631759954404"	"0.267572969468951"	"0.232013381696696"	"0.00502673317781836"	"0.0469026662299685"	"0.0259213114841709"	"0.0359734681948792"	"0.0478143739349043"
"P079"	"0.045104173044505"	"0.222573551651735"	"0.101361285300474"	"0.220476331551719"	"0.251882849894902"	"0.0165168615342262"	"0.0497186874986607"	"0.0289496996575583"	"0.0302286869910787"	"0.034737036739408"
"P085"	"0.0348467396553387"	"0.138759353067371"	"0.0764936154470819"	"0.240633660637904"	"0.286992224883039"	"0.0692451996214174"	"0.0453276446762791"	"0.00884702775250875"	"0.0457081718699633"	"0.0533205712965679"
"P095"	"0.0423209608542476"	"0.121372478029129"	"0.110425730821052"	"0.217270400825906"	"0.30503325278539"	"0.0763202177552252"	"0.049045685877261"	"0"	"0.0453776164791072"	"0.0337718781028487"
"P098"	"0.0260328576828983"	"0.180000863607623"	"0.0555379971376191"	"0.272658373005596"	"0.256320115573882"	"0.0603531021184288"	"0.0424439876923156"	"0.0177160627432296"	"0.0413555997085355"	"0.0500209986654875"
"P100"	"0.0484151825182632"	"0.136483497956188"	"0.121680018424745"	"0.231425970397994"	"0.263119314091629"	"0.0521449626176063"	"0.0508252610098804"	"0.0126476757225906"	"0.0457090711099069"	"0.0380811118251046"
"P109"	"0.0468008982981769"	"0.188465784420971"	"0.1040209132257"	"0.214821699574602"	"0.267345056193802"	"0.0311234535620147"	"0.0489191123872107"	"0.0153303531243313"	"0.0296192932895934"	"0.0541948767394089"
"P111"	"0.0333045233236178"	"0.229588289337907"	"0.0839951395565044"	"0.252689787875252"	"0.231770699509064"	"0.0305035440277921"	"0.0421905010663208"	"0.0241830266543993"	"0.0305629285803027"	"0.042705667499044"
"P114"	"0.0246258932501871"	"0.135991974690261"	"0.0733942357124875"	"0.262485823598311"	"0.299899558530788"	"0.0611612023157712"	"0.0503346519678528"	"0.00564838325807696"	"0.0428582078955254"	"0.0440360312043442"
"P127"	"0.0467140601742709"	"0.214095278796363"	"0.0627538292643596"	"0.292749018189416"	"0.247913467388562"	"0.00802224967962859"	"0.0310411380160983"	"0.00524731358233643"	"0.0328804295421225"	"0.0596106491844654"
"P138"	"0.0876066551528743"	"0.0165646715452024"	"0.078208690072999"	"0.211342005715067"	"0.312445634729861"	"0.111926689909542"	"0.0597468528220532"	"0.0273744909109439"	"0.0498705962992836"	"0.0461173390853971"
"P140"	"0.0366611878334608"	"0.113343919771182"	"0.0870655143343751"	"0.224346902992617"	"0.321298813390012"	"0.0693397792934756"	"0.058243015806997"	"0.00954006444321258"	"0.0432775776992139"	"0.0399828681620762"
"P142"	"0.0370042991721847"	"0.132925406441577"	"0.080029535499714"	"0.249676261243642"	"0.295726559962304"	"0.0579833742731363"	"0.0472297257919783"	"0.0152605622753622"	"0.0389866553273466"	"0.048596865662987"
"P143"	"0.0414900310692214"	"0.222669538663885"	"0.0861079022647525"	"0.271916468520786"	"0.215755035719941"	"0.0169454918694447"	"0.0439574071358632"	"0.0227882861599604"	"0.0306217092790531"	"0.0492884269223536"
"P144"	"0.044184426284162"	"0.219312857505271"	"0.120041204277109"	"0.236715605361773"	"0.239003430244838"	"0.0108999072847583"	"0.0498642108381702"	"0.0237582750689455"	"0.0300422671753384"	"0.0276115620468398"
"P154"	"0.046306038632211"	"0.217053704439665"	"0.0889567005451627"	"0.231430276168822"	"0.265230291748313"	"0.017657889724468"	"0.0473442246700969"	"0.0230737392959929"	"0.0280209593604983"	"0.0351496882722032"
"P158"	"0.029338620709783"	"0.10262137845736"	"0.0821716720091676"	"0.269397078793958"	"0.321730983246307"	"0.0565809500026044"	"0.0532605149343679"	"0.0162128557336728"	"0.038276863381938"	"0.0339569029585824"
"P159"	"0.0429213545400898"	"0.23135478823374"	"0.094995403378138"	"0.225619605467654"	"0.256035376302555"	"0.000415868167250764"	"0.0546766321902957"	"0.039975873847426"	"0.0201636261955304"	"0.0346166271844966"
"P169"	"0.238242506444216"	"0.110825597653008"	"0.0903677476116053"	"0.176327113990296"	"0.210605392851294"	"0.0549509098029583"	"0.0337282047142827"	"0.0347540622495629"	"0.0242954294203139"	"0.0279311027328229"
"P170"	"0.0262578809829595"	"0.154771322186741"	"0.108838430120204"	"0.246500705952352"	"0.293006746810406"	"0.016532522980047"	"0.0560056729926768"	"0.0582725953342873"	"0.0215412486194693"	"0.0214308874933699"
"P174"	"0.0387777144905139"	"0.223228889184286"	"0.0837397117662139"	"0.223532362961896"	"0.213677980114499"	"0.0582425676317443"	"0.0466229207804287"	"0.0337596365319975"	"0.0300465760986391"	"0.0497091523539497"
"P181"	"0.053189430477016"	"0.0112687012948562"	"0.0967026651015782"	"0.225859478721146"	"0.33796580000463"	"0.147722486314636"	"0.0429346721846573"	"0.0224024469467715"	"0.0353605953246616"	"0.0273007678159111"
"P183"	"0.0835314427929244"	"0.169697460268556"	"0.091461884658084"	"0.186022279883168"	"0.226769066963337"	"0.0653307804336093"	"0.0550904571106088"	"0.0295389808995374"	"0.0387139326429678"	"0.0566554508843972"
"P188"	"0.0367629312157634"	"0.123468819151529"	"0.0824174137655861"	"0.234526594321826"	"0.296880372600581"	"0.0695715316549219"	"0.0460621116431589"	"0.015664067615314"	"0.0485766595189864"	"0.0509859527211097"
"P199"	"0.0845153991908133"	"0.00449826953462311"	"0.0828173576201611"	"0.18760035978073"	"0.356830196590432"	"0.0994432239993424"	"0.0715919147472516"	"0.03619488236528"	"0.0383657715202124"	"0.0439217633514525"
"P202"	"0.0243682218430327"	"0.242837195299157"	"0.0986013654859082"	"0.237875290031172"	"0.217836644144583"	"0.0559717865160182"	"0.0397286199216274"	"0"	"0.0364146210039175"	"0.0477726478434408"
"P203"	"0.0568075955913122"	"0.176482105230056"	"0.116349769123814"	"0.207061567954695"	"0.190747818752963"	"0.0601323608311356"	"0.0490844611261697"	"0.0643270353414632"	"0.042811323986827"	"0.0396319329076569"
"P204"	"0.0400305714979089"	"0.22909607921101"	"0.0837112604822888"	"0.261053241178561"	"0.242563508853269"	"0.0179019772181378"	"0.0358186074148967"	"0.00927197819657081"	"0.0328044765809017"	"0.0484037949653065"
"P205"	"0.0685638522656054"	"0.182471876378105"	"0.0826292113574168"	"0.189856748012637"	"0.212349465244507"	"0.0773993242885402"	"0.0487344518918717"	"0.0400951645161837"	"0.045584516317571"	"0.0531079569737925"
"P219"	"0.0345937144040329"	"0.239734101791241"	"0.087959364415567"	"0.240958941428713"	"0.230922270441238"	"0.0143400857394857"	"0.0423133077626775"	"0.0194074970178694"	"0.0403555928130376"	"0.0504849174604948"
