Mixture	cl6	cl4	cl5	cl0	cl1	cl2	cl3	cl9	cl10	cl7	cl11	cl8	cl15	cl14	cl12	cl13	cl16	P-value	Correlation	RMSE
P008	0.0125915806560038	0.172942424828996	0.0829526681587015	0.257307822812699	0.260674878935744	0	0.0401540777642987	0.051575681942798	0	0.0159460542430725	0.0080429047385909	0	0.0328730894148389	0.00296521395202474	0.00747307915885201	0.0545005233933798	0	9999	0.503212645915426	0.916553093156187
P009	0.0152865826865722	0.242760273727983	0.0903070253023243	0.241335479234404	0.200498950292042	0	0.0384691773663505	0.0419054487850174	0	0.0137210539213637	0.006881602541481	0	0.0407069691348015	0.00827552620882825	0.00530067618674886	0.0545512346120836	0	9999	0.459705766974376	0.926836156895769
P010	0.0132126094608377	0.130954721634063	0.075779904157457	0.203937465110625	0.254449272719897	0	0.088618672671199	0.0530279624749415	0	0.0296950639667654	0.0292030752295332	0.0174707608166377	0.0416614035694922	0.00219932283191533	0.0109381922319466	0.0488515731246897	0	9999	0.466157750555254	0.924057869016761
P016	0.016396321911871	0.171041151902739	0.0741282928408173	0.19230719489266	0.236927397296137	0	0.0948318354566008	0.0423788878942979	0	0.030890194080018	0.0114953181493573	0.00966565860810305	0.0373897218426469	0.0086116805597264	0.0100095822751335	0.0639267622898926	0	9999	0.391263917742239	0.943354374467953
P020	0.0127783305169979	0.174864612552805	0.0850548881850013	0.237562881217918	0.23747769999718	0	0.0812764703708189	0.0464602837634374	0	0.0327959627592455	0.00727788118931697	0	0.0317226717400835	0.00441292334825366	0.00575384219248046	0.0425615521664619	0	9999	0.489669959102886	0.922976591709985
P023	0.0156097710810696	0.1270091245833	0.0929315425185126	0.225957042525383	0.318733248965889	0	0.029013567312751	0.0595616790524912	0	0.0426812562655157	0.00802742323332854	0	0.0337090340983658	0.00432826585916704	0.00787695774167136	0.0345610867625557	0	9999	0.550390677404212	0.90508709912246
P024	0.0125626164093479	0.231386421646284	0.10561196495585	0.245416254340015	0.21056822799694	0	0.0470390825326536	0.0462007605018029	0	0.0267524358622313	0.00198670282265237	0	0.0271685016556192	0.00291595048753178	0.00380110629154638	0.0385899744975254	0	9999	0.501646272152024	0.921358877479873
P037	0.0168187024893595	0.176984794901946	0.104146445106699	0.190780621337303	0.230880284694761	0	0.03155334265294	0.0550358003681356	0	0.0532988685648146	0.0282108234641465	0.0239168718259172	0.037386964931263	0.00616262841567023	0.0043661959228254	0.0404576553242188	0	9999	0.430462281511109	0.93275857368571
P038	0.0159892755890746	0.184631664624843	0.0727929246314557	0.229576312709246	0.284346873238754	0	0.0514853394132546	0.0575892548236438	0	0.0166187942144385	0.0019358189547718	0	0.0315477961518532	0.0046236092447119	0.00402168949541204	0.0448406469085404	0	9999	0.520820420370817	0.913837045566968
P039	0.0138084820989768	0.227660545390546	0.100908316570056	0.250290968058278	0.219961731703207	0	0.0109837961329394	0.0412082791098335	0	0.0284233423311497	0.0110863245521607	0	0.0301205361078487	0.00484163606113343	0.00651441667275953	0.0541916252111122	0	9999	0.470440491802325	0.927012894613343
