GeneSymbol	P002	P004	P007	P017	P035	P051	P053	P064	P077	P080	P092	P094	P097	P110	P112	P122	P130	P152	P155	P196	P200	P213	P214	P217	P008	P009	P010	P016	P020	P023	P024	P037	P038	P039	P049	P050	P052	P054	P059	P068	P079	P085	P095	P098	P100	P109	P111	P114	P127	P138	P140	P142	P143	P144	P154	P158	P159	P169	P170	P174	P181	P183	P188	P199	P202	P203	P204	P205	P219
AT1G01140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G01355	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G01490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01550	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364	572.452446562364
AT1G01950	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G02170	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968	180.57222832968
AT1G02270	95.1112755654871	89.0894225390062	119.321734762639	104.657507945976	101.362573227173	92.2337639753329	85.3620382162143	104.670380057925	102.967686715782	102.633496113379	116.153868534996	90.9568374009409	101.879132906425	93.2810298052004	100.345786381956	98.27914179313	99.5844018080277	93.8307970533337	89.309309855222	110.141137759813	80.3199802576638	90.7546662661774	102.536513671493	115.181678372161	125.700100915485	115.006959382482	108.962458745471	102.320408686518	110.884326470151	106.404631185723	102.813944763411	81.7713517939022	123.363001656027	124.010279685291	100.85564935518	107.068629411075	121.898242324689	124.744116600265	122.921725875934	113.276356944842	100.2757234603	114.323622774709	123.676089082888	132.839852205195	120.626994777536	130.005051714979	135.511216531371	125.712973027434	111.99943037045	103.701523630756	156.55380950088	124.288683243507	110.351902824731	117.398057176866	110.132015508515	138.440650146375	89.0985447903041	96.7718354866184	111.797259235686	103.246090273998	89.8417335006423	79.233130490791	123.579106641002	86.0260364415665	117.814428456127	93.9643664129738	114.873390022842	94.1390854026519	121.388379351464
AT1G02410	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628	79.7577709692628
AT1G03220	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G03230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03370	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G03400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03730	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03740	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03870	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G03950	83.1181345830217	69.3280889116498	68.5375008556686	79.1422274973953	72.4290151384986	66.1887345974389	73.3191181141839	69.4344115946375	86.5625052940476	70.5255764658219	86.8595722232779	80.0791360766343	79.0512311385451	83.8328483970604	78.4421085392059	90.5928663595108	66.9818222966249	82.815777861859	80.3127272917623	87.7227593414293	83.4173343520158	81.6198729675698	83.6189399468047	70.9159633059516	60.0118461829454	56.4680920137484	71.6302457974192	65.4372764778324	70.949491833609	74.6973853976275	69.2172122139861	72.9036040691393	69.7989970088858	58.8143586287733	70.3585833507545	86.7374059724491	72.6044043001452	59.6587670869124	68.6284972145188	77.2090290585528	77.4167437777221	58.9206813117609	69.6409074860046	61.1165155145427	64.183655114751	72.3020475789825	70.1724973697889	76.3458419404014	59.1271772031281	71.1061426846933	71.9417905663189	73.1052096639282	66.9030134948456	61.9152848556221	76.2236756895726	75.9510067607089	80.872313633631	82.1439760802957	77.3677951065876	60.4357615507325	81.4296935888281	55.6750043145624	66.8540648237111	79.7309424968626	67.230440079182	61.4280602834424	56.7167097963055	76.0487750111711	67.9283782563294
AT1G03970	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G04230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G04440	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G04490	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
