GeneSymbol	P002	P004	P007	P017	P035	P051	P053	P064	P077	P080	P092	P094	P097	P110	P112	P122	P130	P152	P155	P196	P200	P213	P214	P217	P008	P009	P010	P016	P020	P023	P024	P037	P038	P039	P049	P050	P052	P054	P059	P068	P079	P085	P095	P098	P100	P109	P111	P114	P127	P138	P140	P142	P143	P144	P154	P158	P159	P169	P170	P174	P181	P183	P188	P199	P202	P203	P204	P205	P219
AT1G01140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01300	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G01355	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01490	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848	129.507352133848
AT1G01550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G01950	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G02170	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02270	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G02410	37.7787402197319	37.9918915936921	37.6405591080143	37.9453154886287	37.8392124136391	37.9647513744371	37.5280267671391	38.3299491689098	37.5151401863137	38.1086209531894	37.2938114397138	37.6204131053841	37.4695418494341	38.0882251086178	37.453075187429	38.8984986165776	37.5650284675005	38.0055832912442	38.0772245945701	37.9110631137171	37.6152071732295	37.7527359993692	37.6554854765651	37.9502938388416	37.8445295409938	38.581844387882	37.4971583622173	37.3112147350863	37.6808852992913	37.5965357672622	37.135484325366	37.8335644793443	37.9983092622589	38.171622054562	37.4326835261852	37.5910106405331	38.7401715022298	37.92989799427	37.674409308421	37.8880914238718	37.6863418061506	37.8472561768964	37.3568130719659	37.8399821479111	38.0811171610041	38.0823371250472	37.4067013531526	37.4382086529144	37.5411419969022	38.2131726225995	36.6558118092002	38.0464185382197	37.9240100106994	36.4974846948524	37.8064242600893	37.7988862223621	37.7869883742809	38.0028566553416	37.8446689204984	37.5160821940732	38.239444275352	37.2947480730812	37.3828148825544	38.1921744080706	37.4568800588816	38.0548455082516	37.3696996527913	37.9188974802222	38.0338472937228
AT1G03220	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G03230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03370	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G03400	84.4817212101713	83.2451306306355	72.5224187277499	84.9092734208721	78.1935362194003	81.0633311702551	76.0204668978596	76.7041730854663	83.1174551932719	76.5284338227061	81.0834596297653	79.733239796171	85.3376083848815	83.3382613828557	85.0132809355184	75.052148241863	75.9080354165732	81.9519916960582	81.1300040441861	83.3687976129821	75.0801884573548	75.7567609595048	85.450039866168	66.3271879911965	69.615536149004	64.5096516763655	76.0883610848806	64.6701890395922	73.8155576623272	72.5132183792824	65.6919727192391	77.6108735250743	65.6506154890465	73.9086884145474	71.7004310758778	75.5063382032522	81.2218721589342	77.4889417981955	81.9310700117853	66.0767652349439	67.274600117158	70.7284070710362	73.6878822249636	68.181300556766	83.9663997397851	79.0451091173123	68.0593688298872	68.763963251092	67.0988608543978	75.5099316918278	74.5369639926939	74.5368267714768	71.7922991906259	71.6337582019468	75.4797004525638	85.5179340531889	73.9392246446738	80.1579800393446	75.1215456875474	71.653886661457	74.0997620079005	70.3036668278627	75.9457628189117	81.9427913475907	65.1073910243856	75.5837079672101	66.0803587235195	72.5014970434769	66.5161898506034
AT1G03730	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G03740	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G03870	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G03950	21.9864330105218	21.7744998783347	21.9458921672828	21.9254699119556	21.6384025583233	21.4485833141888	22.2372747039119	21.789925069772	22.1039765111926	21.5563599027532	22.0482405731821	22.284405825572	21.7674542281418	22.0588367647709	21.8549763927394	22.105967886431	21.6699060666629	21.8943064137101	21.7604878336284	22.0666498603721	21.9226228022047	21.8111704888858	21.9409147656444	21.9744774704734	21.7347978418942	21.8483440058039	22.0668133398823	21.8429610538793	21.5792512313137	21.7326778429523	21.9247430258897	22.1010607413457	21.9389257727694	21.9529378174757	22.024872649481	21.8143498675387	22.1648709496628	21.9097570808077	22.1039078510966	22.2450877995131	21.91394398131	21.968363008913	21.8216595185315	22.2452512790233	21.9111157820933	22.0727443528511	21.7313191416667	22.2266785123231	22.0000974576725	21.9896084280269	21.7430958790374	22.1193527047854	22.092381920451	21.8168404974643	21.9927878066797	21.6645231147383	21.84643471034	21.8883754007413	21.7309322180526	21.7576891704547	21.7960395313324	21.6270212533298	21.9093701571936	21.7463050867486	21.7124928894842	21.9215338181784	21.8909308286252	22.2824144503336	22.0334143318804
AT1G03970	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT1G04230	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT1G04440	64.9493480642313	65.8005927082029	57.018059117763	66.8416639088372	62.5573477509239	64.5341157448717	70.5264895981482	67.1078763435538	71.9467812242563	65.2827731594893	62.9834962036448	65.3858648159379	72.3729296769771	58.021976473829	68.7047815509387	69.1175906991297	66.0989228575258	67.5277528607834	66.0069935165031	66.8670739681246	68.5576279884977	63.0131391077715	66.2928235822204	56.9033901088881	49.6939443823773	53.1679142775916	66.8815827209927	65.4866826286523	56.5805135501439	55.559914590899	54.7765689668654	63.3126270749466	55.9964313426056	55.5170095387718	53.6237056344392	62.6433436517437	59.7281572257974	56.4111592348706	64.9064430121041	57.8229770745481	57.7184428702215	55.1446822715394	64.1660024401977	53.2539101784114	57.4776404947922	56.6175600431708	56.09724915532	59.3322278019693	53.9231936016143	68.7216612753016	61.1370561248159	55.5473733168662	55.893339686157	54.1859207892734	56.7094893841935	65.9699470234762	59.1681945151654	64.9368067901985	69.8038043694395	57.4921492476604	67.4114099471613	63.5753542626057	59.3153480776065	66.4074925910953	57.4522304355049	59.0833778557096	58.1383193874511	67.2124105478804	60.4143708961072
AT1G04490	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
