GeneSymbol	cl	cl4	cl5	cl0	cl1	cl3	cl9	cl7	cl15	cl13
AT5G16650	10.6046884541414	3.07437823680373	14.0225316343631	2.53110266176604	3.73823342163933	7.7472759712365	15.1897203144138	7.88833455788232	7.25300390578188	0
AT5G16660	16.4199831203306	8.55081985666902	20.9820823289863	20.5432595274528	11.3546227987117	14.0828445083997	0	28.6316702240158	0	0
AT5G16680	3.82996015538108	1.73572621434017	6.71040284163407	2.91820755947446	2.78965305766655	3.92685106148632	7.9277897399312	6.26783319085379	14.0828903806798	8.03459145586623
AT5G16690	0.505576639902033	0.429861528606594	0.100474190701144	0.113355991714967	0	0.734464814767915	0	0	0.699897717234165	2.13958482470131
AT5G16700	0	0	0	0	0	0	0	0	0	0
AT5G16710	37.2607198729018	25.0457042662744	67.1068068506518	27.662122232015	36.473459900352	48.6195104812809	194.40901103356	79.5527080858069	8.69724184709448	62.9968658891181
AT5G16715	4.47400975056547	5.46592240748232	6.5051501061853	7.9119037539964	5.40154867285973	10.054092533918	1.94029933216755	0	28.9911059629071	26.6612021231723
AT5G16720	0.0623643152922987	0.0362875416641792	0	1.04734071392505	0.642082251124118	0	0	0	3.718067292457	5.33385072473716
AT5G16730	94.8375258887127	0	15.6768040649949	0	10.3814702312388	14.883698406338	149.742718968568	35.4398115910733	50.5520287905347	0
AT5G16740	0	0	0	0	0	0	0	0.00334978269435457	0	0
AT5G16750	1.10520327182165	0.79294372734114	0	0.848621778140266	0	0.732527871979347	0	0	0	6.19280091530066
AT5G16760	2.54688634017336	2.43583167428742	0	4.09747299125852	2.89024407572575	3.31570702849072	7.43328353812157	8.33471204045502	0	14.6715109192954
AT5G16770	0.00503614901853602	0.00151654786587113	0	0	0	0	0	0.0116914152091533	0	0
AT5G16780	6.77752991612798	2.55343814088917	6.46151516471792	4.50309720648606	3.38051663483333	4.24024985434508	13.4867834874859	1.77951432844969	0.958618340598824	4.02715366079728
AT5G16790	1.69687419868036	1.36629577747856	1.01434066411717	2.66183791885211	2.07274289641776	2.35208633757107	6.60193188973339	3.70631454323554	0.111141866897779	2.98606514053087
AT5G16800	6.59805846804002	0	4.95837152289443	0.225096045540099	1.56762097101934	4.16282964091404	11.1118607596284	6.75244867722071	16.8952784696797	0
AT5G16810	4.89828327258927	2.85240898892148	16.7845206561281	7.24608737760291	4.76060032920375	5.80192462062119	12.1952309479676	19.9887586554826	7.40910964962071	3.05558511017351
AT5G16820	5.51996370384999	0.00802096976000129	3.96109225147367	0.631788740544347	1.35504025998112	1.38879709758727	0.353277607649007	5.71809378074261	2.71516973610753	0
