Mixture	cl6	cl4	cl5	cl0	cl1	cl2	cl3	cl9	cl10	cl7	cl11	cl8	cl15	cl14	cl12	cl13	cl16	P-value	Correlation	RMSE
P002	0.0138877019998886	0	0.106691615656964	0.245053634208603	0.2809459352775	0	0.108906414768963	0.0632738856940459	0.0281380263938067	0.0186101371381028	0.03213124001081	0.0280009235207872	0.0378216207382007	0.00267034628504619	0.00478596105879617	0.0290825572484864	0	9999	0.50699354639452	0.910455412030727
P004	0.016051475606623	0.0271057841005685	0.083788853790131	0.217672482589771	0.338120029424492	0	0.0607581035336581	0.0751005323905833	0	0.0364042286752417	0.0305577639248504	0.0313677671103535	0.0379403592298432	0.00289496458503751	0.00742062119509204	0.034817033843755	0	9999	0.530670624022401	0.902409971166303
P007	0.0140368136747909	0.210163021882163	0.101985339859402	0.240980660395686	0.255956236239771	0	0.00948401922071114	0.0379545780762546	0	0.0247781950144553	0.024363408706677	0	0.0309534298620706	0.00360112430194767	0.00484018306428342	0.0409029897017875	0	9999	0.461820500333804	0.930395778562535
P017	0.0173773531082999	0.0247882639605775	0.0669923619744572	0.216127357657917	0.339023853358887	0	0.0854897630579873	0.0670066485007062	0	0.0255774530702932	0.0295667854866761	0.0357375860316815	0.0405544713028968	0.00417938190267462	0.00925648520949634	0.0383222353774493	0	9999	0.523528338023373	0.906156091214069
P035	0.017757182617151	0.149430023629361	0.0860826462631371	0.258905912184755	0.302632138175736	0	0.0242608023157834	0.0483802317232469	0	0.0280829721444062	0.00752107877264463	0	0.0332463541964025	0.0035458457393896	0.00428456637064724	0.0358702458673397	0	9999	0.501199099537576	0.917786476396933
P051	0.0136111041862285	0.0588029772491664	0.0765985663177047	0.221315568747576	0.337753607177821	0	0.068797909800965	0.0562991130891903	0	0.0273195133922984	0.0364851095358694	0.024699658098247	0.0333704764795733	0.0032197751173707	0.0110040975294033	0.0307225232785864	0	9999	0.452418319837482	0.927584031364895
P053	0.0186105393001254	0.0696757378546243	0.0656186153195293	0.199297343303126	0.283789706446285	0	0.0621818779453561	0.0692847475875783	0	0.0266912078948525	0.0364289275405597	0.041557788063017	0.0540676309234054	0.0135209981775233	0.00759747789529525	0.0516774017487233	0	9999	0.475534505985204	0.912786140555191
P064	0.0158327643298675	0.109469690263473	0.075713107736797	0.20471865428125	0.315891010365038	0	0.0653972514146069	0.066753406995991	0	0.0403950555926823	0.0166229868110499	0.0133680887042648	0.0332474872465212	0.00328589322160609	0.0045661499711501	0.0347384530657032	0	9999	0.517340310432673	0.911916956700759
P077	0.016456009682382	0.030644114524942	0.0890522950854701	0.210857834329069	0.365377790720566	0	0.0454245629743908	0.0700678698561893	0	0.0281848903717493	0.0261912630934699	0.0308741673118578	0.0387399664294009	0.00476601461924571	0.00733558712728203	0.0360276338739849	0	9999	0.49071206656399	0.913866075036016
P080	0.0103151638638917	0.152019651486819	0.109907442867676	0.244608195290365	0.236392229931944	0	0.044554080729948	0.0440498779633015	0	0.0349265104236299	0.0251043901715332	0.0128030411930558	0.0399556125584405	0.00299124633876784	0.00492579995697688	0.037446757223651	0	9999	0.463561646186197	0.925451498624959
P092	0.0178427798744381	0.163187398468395	0.094551665596162	0.258736612118696	0.265835679365108	0	0.0168282246667647	0.0630627118490927	0.00470838954185185	0.0444346358273416	0.00814798197510799	0	0.0189011228976467	0.0051010975203862	0.0054275770953559	0.0332341232036528	0	9999	0.416017134267156	0.934550702933731
P094	0.0114526497218001	0.120518883652495	0.067134607026908	0.223069515398335	0.286801529723181	0	0.0457293328205398	0.0484737418263685	0	0.0157373788692853	0.045884547370281	0.0287722026844064	0.0427667967871256	0.00596050149962036	0.0104745728875296	0.0472237397321239	0	9999	0.452372061558837	0.926557832326296
P097	0.0185423675460825	0.0771527611725882	0.0778410098565332	0.212863765226094	0.309522765117941	0	0.0320038134806835	0.0767300855793533	0	0.0306515509528318	0.0463363580102532	0.0310432929233746	0.035776374085271	0.00631173995004509	0.00978731639356158	0.0354367997053872	0	9999	0.5534932915311	0.896828507713342
P110	0.0170349022995289	0.187620378684194	0.0913663114670893	0.246804587970479	0.284367759040001	0	0.0156767692825541	0.0538675235273663	0	0.0279094618091628	0.00849184137525736	0	0.0290597102252145	0.00237865638228122	0.00549035183957343	0.0299317460972987	0	9999	0.490202011964716	0.920561256655644
P112	0.0208786299249767	0.127621615654172	0.0895480589952887	0.18907682469876	0.267710170590881	0	0.0405408557097018	0.0679587502477348	0	0.0273925711462997	0.0349588775707119	0.035582918793063	0.0408936574991066	0.00733816151815307	0.00962868518759612	0.0408702224635543	0	9999	0.496317526484075	0.913133859938487
P122	0.0177740400781988	0.0963098750349403	0.10849934333824	0.182684252322955	0.283469967809616	0	0.0769178994271829	0.0729956728147023	0	0.0462799205184916	0.0212421639890508	0.0211199491507029	0.0336087650409822	0.00332174761377558	0.00582802526922725	0.0299483775919348	0	9999	0.471737605642292	0.920327214630817
P130	0.0171692737367915	0.156454899486372	0.096683262387724	0.186522206290883	0.23278707613268	0	0.0390698706007655	0.0641745187495688	0	0.040113680737622	0.0370096710493319	0.0264794381007608	0.0443169867307851	0.00743616916557405	0.00622398690657296	0.045558959924568	0	9999	0.478876439899816	0.917812604324987
P152	0.0170330442076755	0.0958447576805451	0.0841147264208921	0.212819944228794	0.305815041417488	0	0.0661756641986717	0.0640444101371606	0	0.0376944753870064	0.0191319359400552	0.0159580329687945	0.035338368730011	0.00278129983252886	0.00516875372271272	0.0380795451276645	0	9999	0.480057659596472	0.919734261796146
P155	0.0157102987698437	0.0960393249301918	0.101650631097675	0.199685243587868	0.274411184666819	0	0.0992630531296598	0.0581251933773685	0	0.0239478754261551	0.0163589544853447	0.0147332451029973	0.04462679799331	0.0111606573213194	0.00658149767578904	0.0377060424356591	0	9999	0.493260261028298	0.916003043472465
P196	0.0169309197036666	0.00966240815896413	0.102138006093441	0.212065891549878	0.419509306531424	0	0.0699553807945157	0.0658041942872587	0	0.0283422156598463	0.00210086215496429	0	0.0420760714204789	0.00470502411334055	0.0056743635880633	0.0210353559441576	0	9999	0.497646949930157	0.913310736075192
P200	0.0142037231560941	0.072323626790608	0.117345545775172	0.204684961688733	0.295732869371834	0	0.0639917104414422	0.059056107686864	0	0.031065123368376	0.0314757756759699	0.0213225632297751	0.0430738258216305	0.00386225128373669	0.00448069491486633	0.0373812207948976	0	9999	0.465692868724592	0.922305369273806
