GeneSymbol	P002	P004	P007	P017	P035	P051	P053	P064	P077	P080	P092	P094	P097	P110	P112	P122	P130	P152	P155	P196	P200	P213	P214	P217	P008	P009	P010	P016	P020	P023	P024	P037	P038	P039	P049	P050	P052	P054	P059	P068	P079	P085	P095	P098	P100	P109	P111	P114	P127	P138	P140	P142	P143	P144	P154	P158	P159	P169	P170	P174	P181	P183	P188	P199	P202	P203	P204	P205	P219
AT3G60530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G60880	23.6054163108274	23.599150436532	23.6135751845928	23.6090492233588	23.6241145148293	23.6055141171007	23.6023021108814	23.5996285908349	23.6002642111457	23.6227418224231	23.6077903723665	23.6048299625453	23.6112634221936	23.6070024406337	23.615297425297	23.6105926983614	23.6089166429328	23.6017261241003	23.6227350595442	23.6201175866395	23.6054170211054	23.6222571256669	23.6032106186829	23.6074808744543	23.6221480009842	23.6170390851565	23.6117499833945	23.6026235601229	23.6017150523214	23.6178417895864	23.614710366737	23.6141622431528	23.6064153820737	23.6195131503461	23.6216700671069	23.6125084917412	23.605683388971	23.6084621647988	23.606270447531	23.6130895502324	23.6011390655402	23.6100056398014	23.6106763636336	23.622154763863	23.6201002089061	23.5996771525857	23.6083295843728	23.5990415322749	23.6189434695195	23.6080679330143	23.6170870779007	23.6195305280795	23.6235274562693	23.6176261437165	23.6048292522674	23.6049270585407	23.6110440792377	23.5985633779719	23.6116311377977	23.6210982932833	23.6123370419545	23.6119214331811	23.6216853518433	23.6136766087924	23.6242601831305	23.6248472416905	23.6165000193407	23.6072033138065	23.6172547310264
AT3G60960	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G61150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AT3G61610	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G61650	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261	11.230722780261
AT3G61770	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G61820	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
AT3G62000	24.4861902505887	24.6122309815356	27.6551843028461	23.7201162333965	29.8762113379575	26.304166388591	26.3630030897033	27.8970104551702	23.7478746204539	25.8721786560047	28.1956084442053	32.3973833494233	24.0119354912523	25.5536875163735	24.2405227574968	23.9698762931152	24.4291219330044	28.1319294399958	28.177861473237	24.1037775836056	25.4582850666259	23.3326604812621	26.3828044748791	28.0426400549804	28.0549422591584	28.4263014051896	26.5053681613384	30.6855269112872	30.5524274437826	28.7516457545884	32.5003852948209	30.9939732784004	23.7324184375744	28.3344593128363	31.1801223569875	25.0056345387247	23.8730846226214	30.8997689637618	27.1957843632388	26.5772451421778	28.0703984420379	28.5630465790808	30.8278919829224	28.9347548031196	27.9843044299251	30.8768959816996	31.5183081848228	32.4544532615798	28.8087140721727	26.6714494568164	27.2053817704192	31.1534525514704	32.4052322586584	30.1947024775887	26.8575985354035	28.0748595278393	28.0827084370744	32.2195342767541	31.5279055920032	29.3281583603087	26.5543721601156	26.8309287298865	26.2299036221986	23.6617806083411	32.7488252267736	29.7808088882099	30.7053282964631	28.2924001146991	30.6266902101749
AT3G62530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
